Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Mid,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,"Date On List"
GME,14.55,Put,14,2023-12-08,7,1.21,1.24,1.27,1.25,3109,390,7.97,191.46%,-0.391068,2023-11-30
GME,17.72,Put,14,2024-04-19,121,1.49,1.58,1.66,1.49,775,597,1.3,82.83%,-0.231768,2023-12-19
GME,16.98,Put,14,2023-12-08,3,0.38,0.4,0.41,0.38,4228,3188,1.33,249.38%,-0.167017,2023-12-04
GME,31.4,Put,14,2021-01-22,9,0.07,0.11,0.15,0.11,693,273,2.54,0.00%,N/A,2021-01-13
GME,16.6,Put,14,2023-03-24,7,0.34,0.37,0.39,0.36,770,561,1.37,149.40%,-0.176011,2023-03-17
GME,16.22,Put,14,2023-01-13,8,0.27,0.28,0.29,0.27,799,569,1.4,114.74%,-0.169396,2023-01-05
GME,14.43,Put,14,2023-11-17,32,0.75,0.8,0.86,0.78,609,486,1.25,57.32%,-0.4015,2023-10-16
GME,16.46,Put,14,2023-01-13,7,0.17,0.18,0.18,0.17,1080,561,1.93,110.27%,-0.126848,2023-01-06
GME,13.87,Put,14,2023-11-03,0,0.07,0.12,0.17,0.1,1119,353,3.17,30.80%,-0.72005,2023-11-03
GME,325,Put,14,2021-02-12,14,0.13,0.37,0.6,0.6,787,307,2.56,0.00%,N/A,2021-01-29
GME,14.6,Put,14,2023-10-06,2,0.13,0.15,0.16,0.14,1810,811,2.23,85.98%,-0.245798,2023-10-03
GME,14.84,Put,14,2023-12-15,8,1.3,1.34,1.37,1.34,2533,2021,1.25,203.24%,-0.365807,2023-12-06
GME,16.36,Put,14.5,2023-12-15,7,0.44,0.47,0.5,0.48,1477,451,3.27,139.09%,-0.235529,2023-12-07
GME,14.91,Put,14.5,2023-12-08,2,1.08,1.1,1.11,1.11,1238,955,1.3,300.85%,-0.406696,2023-12-05
GME,14.84,Put,14.5,2023-12-08,1,1.32,1.34,1.36,1.35,1941,1396,1.39,495.46%,-0.413377,2023-12-06
GME,14.84,Put,14.5,2023-12-15,8,1.55,1.6,1.64,1.6,614,279,2.2,204.01%,-0.410291,2023-12-06
GME,14.92,Put,14.5,2023-10-27,13,0.39,0.42,0.44,0.4,616,150,4.11,52.22%,-0.371953,2023-10-13
GME,15.39,Put,14.5,2023-10-06,3,0.13,0.15,0.16,0.15,1058,110,9.62,85.99%,-0.211999,2023-10-02
GME,14.55,Put,14.5,2023-12-01,0,0.39,0.4,0.4,0.4,4663,967,4.82,140.77%,-0.46722,2023-11-30
GME,16.46,Put,14.5,2023-01-13,7,0.23,0.24,0.25,0.23,620,174,3.56,104.18%,-0.169487,2023-01-06
GME,15.3,Put,14.5,2023-12-08,6,1.14,1.17,1.2,1.18,680,275,2.47,203.27%,-0.368693,2023-12-01
GME,16.98,Put,14.5,2023-12-08,3,0.49,0.52,0.55,0.54,1220,625,1.95,256.76%,-0.213558,2023-12-04
GME,14.6,Put,14.5,2023-10-06,2,0.28,0.3,0.32,0.3,2912,741,3.93,80.58%,-0.443745,2023-10-03
GME,15.07,Put,14.5,2023-12-15,3,0.25,0.26,0.27,0.25,2890,1025,2.82,89.93%,-0.304978,2023-12-11
GME,15.09,Put,14.5,2023-10-20,7,0.21,0.25,0.28,0.25,1223,332,3.68,59.43%,-0.302414,2023-10-12
GME,15.08,Put,14.5,2023-10-13,6,0.21,0.22,0.24,0.21,615,399,1.54,57.83%,-0.288425,2023-10-06
GME,15.39,Put,15,2023-10-06,3,0.26,0.28,0.3,0.28,3044,750,4.06,81.27%,-0.351429,2023-10-02
GME,18.75,Put,15,2023-09-08,1,0.16,0.17,0.17,0.16,3220,2194,1.47,346.52%,-0.093283,2023-09-06
GME,14.55,Put,15,2023-12-08,7,1.85,1.87,1.89,1.89,807,605,1.33,202.94%,-0.487514,2023-11-30
GME,16.25,Put,15,2023-12-15,15,1.65,1.69,1.74,1.7,1720,1118,1.54,180.40%,-0.344188,2023-11-29
GME,23.87,Put,15,2023-04-06,15,0.08,0.1,0.11,0.11,863,246,3.51,139.54%,-0.036733,2023-03-22
