Date,Open,High,Low,Close,Adj Close,Volume
2021-07-29,18.750000,19.650000,18.639999,18.830000,18.830000,173500
2021-07-30,18.600000,19.250000,17.920000,18.139999,18.139999,106000
2021-08-02,18.200001,18.760000,18.129999,18.620001,18.620001,73900
2021-08-03,18.719999,18.719999,17.940001,17.990000,17.990000,118600
2021-08-04,17.760000,18.639999,16.600000,16.750000,16.750000,1077300
2021-08-05,16.760000,17.959999,16.750000,17.500000,17.500000,264200
2021-08-06,17.629999,17.670000,16.889999,16.990000,16.990000,191100
2021-08-09,17.000000,17.670000,16.900000,17.200001,17.200001,256500
2021-08-10,17.500000,19.790001,17.219999,18.350000,18.350000,1225900
2021-08-11,18.150000,18.740000,17.520000,18.639999,18.639999,173300
2021-08-12,18.400000,18.990000,18.070000,18.700001,18.700001,141400
2021-08-13,18.600000,20.600000,18.299999,18.650000,18.650000,663800
2021-08-16,18.280001,18.760000,17.570000,18.110001,18.110001,198400
2021-08-17,17.900000,18.950001,17.820000,17.900000,17.900000,117500
2021-08-18,18.379999,18.430000,17.850000,18.059999,18.059999,95800
2021-08-19,17.940001,18.889999,17.809999,18.070000,18.070000,243400
2021-08-20,17.830000,18.490000,17.700001,17.930000,17.930000,304000
2021-08-23,18.000000,19.000000,17.900000,18.580000,18.580000,142100
2021-08-24,17.809999,20.889999,16.809999,19.400000,19.400000,4005100
2021-08-25,19.700001,20.139999,17.900000,18.160000,18.160000,2080100
2021-08-26,18.000000,18.850000,17.430000,17.740000,17.740000,716200
2021-08-27,17.540001,18.209999,17.530001,17.990000,17.990000,285500
2021-08-30,18.219999,18.480000,17.799999,18.010000,18.010000,305300
2021-08-31,18.150000,18.650000,18.030001,18.350000,18.350000,341400
2021-09-01,18.549999,19.160000,18.120001,18.180000,18.180000,293300
2021-09-02,18.510000,18.799999,18.230000,18.620001,18.620001,136400
2021-09-03,18.620001,18.840000,18.309999,18.540001,18.540001,115300
2021-09-07,18.570000,19.559999,18.490000,19.270000,19.270000,315200
2021-09-08,19.270000,19.270000,18.200001,18.930000,18.930000,180500
2021-09-09,18.650000,19.320000,18.629999,19.020000,19.020000,173300
2021-09-10,19.139999,19.709999,18.709999,18.820000,18.820000,182200
